  Frames  Seconds        Occurrences                    PDF                    CDF                  1-CDF              1/CDF               1/(1-CDF)
    3183  53.0500            1295029  7.020366276158652e-14  7.020366276158652e-14  1.000000000000000e+00  14244271034632.86                    1.00
    3184  53.0667          287532081  1.558714534397390e-11  1.565734900673549e-11  9.999999999999298e-01     63867772224.39                    1.00
    3185  53.0833         1148797979  6.227646322893785e-11  7.793381223567333e-11  9.999999999843426e-01     12831401048.06                    1.00
    3186  53.1000         2867444362  1.554444703380856e-10  2.333782825737589e-10  9.999999999220662e-01      4284888846.43                    1.00
    3187  53.1167         5727011184  3.104618983770790e-10  5.438401809508379e-10  9.999999997666217e-01      1838775498.81                    1.00
    3188  53.1333        10009850301  5.426350721299440e-10  1.086475253080782e-09  9.999999994561598e-01       920407526.23                    1.00
    3189  53.1500        15999573611  8.673386233943974e-10  1.953813876475179e-09  9.999999989135248e-01       511819478.84                    1.00
    3190  53.1667        23986303253  1.300300104839936e-09  3.254113981315115e-09  9.999999980461861e-01       307303310.75                    1.00
    3191  53.1833        34253721864  1.856897983033151e-09  5.111011964348267e-09  9.999999967458860e-01       195655969.30                    1.00
    3192  53.2000        47084038181  2.552430824261532e-09  7.663442788609798e-09  9.999999948889881e-01       130489654.27                    1.00
    3193  53.2167        62760899194  3.402275162663927e-09  1.106571795127373e-08  9.999999923365572e-01        90369192.89                    1.00
    3194  53.2333        81574392717  4.422156690147856e-09  1.548787464142158e-08  9.999999889342821e-01        64566638.30                    1.00
    3195  53.2500       103808236048  5.627455752256483e-09  2.111533039367806e-08  9.999999845121254e-01        47358955.86                    1.00
    3196  53.2667       129744674542  7.033472900343056e-09  2.814880329402112e-08  9.999999788846696e-01        35525488.94                    1.00
    3197  53.2833       159665987899  8.655510547607003e-09  3.680431384162812e-08  9.999999718511967e-01        27170727.98                    1.00
    3198  53.3000       193855752806  1.050894141705391e-08  4.731325525868203e-08  9.999999631956862e-01        21135726.01                    1.00
    3199  53.3167       232604162702  1.260949692653401e-08  5.992275218521604e-08  9.999999526867447e-01        16688152.05                    1.00
    3200  53.3333       276194972482  1.497255945972793e-08  7.489531164494396e-08  9.999999400772478e-01        13351970.61                    1.00
    3201  53.3500       324910318289  1.761342364759453e-08  9.250873529253849e-08  9.999999251046884e-01        10809789.98                    1.00
    3202  53.3667       379033776032  2.054746217096393e-08  1.130561974635024e-07  9.999999074912647e-01         8845158.62                    1.00
    3203  53.3833       438855469083  2.379040264934669e-08  1.368466001128491e-07  9.999998869438025e-01         7307452.28                    1.00
    3204  53.4000       504659186237  2.735762930414611e-08  1.642042294169952e-07  9.999998631533998e-01         6089977.12                    1.00
    3205  53.4167       576727174148  3.126444275713437e-08  1.954686721741296e-07  9.999998357957706e-01         5115909.31                    1.00
    3206  53.4333       655341639277  3.552614145121676e-08  2.309948136253463e-07  9.999998045313279e-01         4329101.53                    1.00
    3207  53.4500       740786123299  4.015809621139453e-08  2.711529098367409e-07  9.999997690051864e-01         3687956.00                    1.00
    3208  53.4667       833350890002  4.517604226914485e-08  3.163289521058857e-07  9.999997288470902e-01         3161266.12                    1.00
    3209  53.4833       933319768475  5.059536603021315e-08  3.669243181360989e-07  9.999996836710479e-01         2725357.66                    1.00
    3210  53.5000      1040974821305  5.643135813807954e-08  4.233556762741784e-07  9.999996330756818e-01         2362080.06                    1.00
    3211  53.5167      1156599553518  6.269938743099900e-08  4.860550637051774e-07  9.999995766443237e-01         2057380.07                    1.00
    3212  53.5333      1280484122971  6.941518339791770e-08  5.554702471030951e-07  9.999995139449362e-01         1800276.44                    1.00
    3213  53.5500      1412912390823  7.659413418309923e-08  6.320643812861943e-07  9.999994445297529e-01         1582117.31                    1.00
    3214  53.5667      1554166605893  8.425154052568067e-08  7.163159218118750e-07  9.999993679356187e-01         1396032.07                    1.00
    3215  53.5833      1704528900331  9.240269684015990e-08  8.087186186520349e-07  9.999992836840782e-01         1236524.02                    1.00
    3216  53.6000      1864282780982  1.010629720634001e-07  9.097815907154350e-07  9.999991912813814e-01         1099164.91                    1.00
    3217  53.6167      2033718581049  1.102481051898732e-07  1.020029695905308e-06  9.999990902184093e-01          980363.61                    1.00
    3218  53.6333      2213120205734  1.199734867514185e-07  1.140003182656727e-06  9.999989799703041e-01          877190.53                    1.00
    3219  53.6500      2402769643123  1.302544033528088e-07  1.270257586009535e-06  9.999988599968174e-01          787241.90                    1.00
    3220  53.6667      2602950327546  1.411062199998614e-07  1.411363806009397e-06  9.999987297424140e-01          708534.54                    1.00
    3221  53.6833      2813952450275  1.525446679929532e-07  1.563908474002350e-06  9.999985886361940e-01          639423.61                    1.00
    3222  53.7000      3036059945700  1.645851394462081e-07  1.728493613448558e-06  9.999984360915259e-01          578538.44                    1.00
    3223  53.7167      3269555065668  1.772429352629116e-07  1.905736548711470e-06  9.999982715063865e-01          524731.50                    1.00
    3224  53.7333      3514719902600  1.905333477038480e-07  2.096269896415318e-06  9.999980942634513e-01          477037.81                    1.00
    3225  53.7500      3771845663861  2.044721631519063e-07  2.300742059567224e-06  9.999979037301036e-01          434642.38                    1.00
    3226  53.7667      4041215086602  2.190747088187542e-07  2.519816768385978e-06  9.999976992579405e-01          396854.25                    1.00
    3227  53.7833      4323111905184  2.343563659749220e-07  2.754173134360900e-06  9.999974801832316e-01          363085.38                    1.00
    3228  53.8000      4617818209831  2.503324267620947e-07  3.004505561122995e-06  9.999972458268657e-01          332833.47                    1.00
    3229  53.8167      4925617295035  2.670182486054560e-07  3.271523809728451e-06  9.999969954944389e-01          305667.96                    1.00
    3230  53.8333      5246799453734  2.844295683167080e-07  3.555953378045159e-06  9.999967284761903e-01          281218.54                    1.00
    3231  53.8500      5581648767007  3.025817859620013e-07  3.858535164007160e-06  9.999964440466219e-01          259165.71                    1.00
    3232  53.8667      5930447275426  3.214901909913805e-07  4.180025354998541e-06  9.999961414648360e-01          239233.00                    1.00
    3233  53.8833      6293477066264  3.411700753865564e-07  4.521195430385097e-06  9.999958199746450e-01          221180.44                    1.00
    3234  53.9000      6671029385653  3.616372276319811e-07  4.882832658017078e-06  9.999954788045696e-01          204799.15                    1.00
    3235  53.9167      7063387107636  3.829069823602527e-07  5.265739640377331e-06  9.999951171673420e-01          189906.84                    1.00
    3236  53.9333      7470833833915  4.049947136504427e-07  5.670734354027774e-06  9.999947342603597e-01          176344.00                    1.00
    3237  53.9500      7893651647719  4.279157132650361e-07  6.098650067292810e-06  9.999943292656460e-01          163970.71                    1.00
    3238  53.9667      8332123810784  4.516853368535106e-07  6.550335404146321e-06  9.999939013499327e-01          152663.94                    1.00
    3239  53.9833      8786540681685  4.763193247857571e-07  7.026654728932078e-06  9.999934496645958e-01          142315.23                    1.00
    3240  54.0000      9257186490983  5.018330852313616e-07  7.528487814163439e-06  9.999929733452710e-01          132828.80                    1.00
    3241  54.0167      9744343065595  5.282418960581080e-07  8.056729710221547e-06  9.999924715121858e-01          124119.84                    1.00
    3242  54.0333     10248293782896  5.555611191842766e-07  8.612290829405824e-06  9.999919432702897e-01          116113.12                    1.00
    3243  54.0500     10769328667303  5.838064768650167e-07  9.196097306270841e-06  9.999913877091706e-01          108741.78                    1.00
    3244  54.0667     11307730661098  6.129933074321700e-07  9.809090613703011e-06  9.999908039026937e-01          101946.25                    1.00
    3245  54.0833     11863783267935  6.431369796496152e-07  1.045222759335263e-05  9.999901909093863e-01           95673.39                    1.00
    3246  54.1000     12437768563474  6.742527848695211e-07  1.112648037822215e-05  9.999895477724067e-01           89875.68                    1.00
    3247  54.1167     13029969776498  7.063560769549797e-07  1.183283645517713e-05  9.999888735196217e-01           84510.59                    1.00
    3248  54.1333     13640677366517  7.394626017475790e-07  1.257229905692471e-05  9.999881671635448e-01           79539.95                    1.00
    3249  54.1500     14270175645685  7.735877718400706e-07  1.334588682876478e-05  9.999874277009431e-01           74929.45                    1.00
