1 1 Aruki       2010-06-18 1 1
1 1 Claris      2010-11-13 1 1
1 2 Claris      2010-11-30 2 1
1 1 T3          2011-06-10 1 1
2 1 Claris      2012-03-23 1 1
2 2 Claris      2012-03-23 1 1
1 2 T3          2012-06-19 1 1
1 1 M177        2014-01-01 0 0
2 1 M177        2014-01-01 1 1
1 1 Daryoshi    2014-02-02 1 1
1 2 Daryoshi    2014-03-29 1 1
1 2 M177        2014-07-09 1 1
2 2 M177        2014-07-12 1 1
1 3 M177        2014-08-13 0 0
1 3 Daryoshi    2014-08-23 1 1
2 1 Qty         2014-12-27 0 1
1 1 TomLube     2015-02-03 0 0
1 1 R_Web       2015-02-04 0 0
2 3 M177        2015-02-15 1 1
2 2 Qty         2015-02-20 2 1
2 1 TomLube     2015-03-05 0 0
1 3 T3          2015-03-11 1 1
1 2 R_Web       2015-04-11 1 0
1 1 Draconif    2015-04-17 0 0
1 1 Justin      2015-05-12 0 0
2 1 R_Web       2015-05-16 0 2
2 2 R_Web       2015-05-16 2 2
2 1 OldSchool   2015-05-17 0 2
2 1 Draconif    2015-05-20 0 2
1 2 Justin      2015-05-22 2 0
2 3 Claris      2015-05-23 1 1
2 4 Claris      2015-05-23 2 1
1 2 TomLube     2015-05-24 2 0
1 2 Draconif    2015-05-28 2 0
2 2 Draconif    2015-05-28 2 2
2 2 TomLube     2015-06-02 2 2
2 2 OldSchool   2015-06-07 2 2
2 1 Hazel       2015-06-07 0 2
2 2 Hazel       2015-06-07 2 2
1 1 Hazel       2015-07-09 0 0
1 3 R_Web       2015-08-01 1 1
1 1 Dyceron     2015-09-06 1 1
3 1 Claris      2015-09-26 0 0
3 2 Claris      2015-09-26 2 0
3 1 Draconif    2015-10-10 0 1
3 2 Draconif    2015-10-10 2 1
1 3 Justin      2015-11-28 1 1
1 4 M177        2016-01-07 1 1
1 1 Skull       2016-02-06 1 1
2 3 R_Web       2016-03-23 0 0
2 1 Dyceron     2016-04-13 0 1
2 4 R_Web       2016-04-16 2 1
2 2 Dyceron     2016-04-24 2 0
2 3 Dyceron     2016-04-24 1 1
2 1 Justin      2016-08-11 0 1
2 2 Justin      2016-08-13 2 1
1 1 MPzoid      2016-09-30 1 1
1 3 TomLube     2017-01-19 0 1
2 3 Draconif    2017-01-22 1 2
3 1 Dyceron     2017-02-09 0 1
3 2 Dyceron     2017-02-09 2 1
1 2 Skull       2017-02-19 0 0
3 3 Dyceron     2017-02-25 1 1
1 2 Dyceron     2017-04-06 0 1
1 1 Riley       2017-05-06 0 0
1 1 Izzy        2017-05-10 0 0
1 3 Riley       2017-05-21 0 1
1 2 Riley       2017-05-21 1 1
2 1 Riley       2017-05-24 1 1
1 1 Eagle       2017-05-25 0 0
1 1 Whiskers    2017-06-24 0 0
1 3 Dyceron     2017-07-11 1 1
1 1 Lily        2017-07-12 0 0
1 1 Erubi       2017-08-11 1 1
1 1 Pitzke      2017-12-25 0 0
1 1 Bash        2018-02-03 1 1
1 3 Erubi       2018-02-03 0 1
1 3 Skull       2018-03-28 1 1
